,Unnamed: 0,pilot_code,user_in_role_id,detection_variable_type,detection_variable_name,zero_time,interval_start,interval_end,step,measure_value,Normalised,hidden_states
1457,1779,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/10/2017 1:00,2/11/2017 1:00,40,3816.0,0.28769601899999997,0
1458,1780,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/11/2017 1:00,2/12/2017 1:00,41,3054.0,0.23024728600000002,0
1459,1781,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/12/2017 1:00,2/13/2017 1:00,42,7280.0,0.548854041,1
1460,1782,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/13/2017 1:00,2/14/2017 1:00,43,4761.0,0.358941496,0
1461,1783,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/14/2017 1:00,2/15/2017 1:00,44,4267.0,0.321697829,0
1462,1784,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/15/2017 1:00,2/16/2017 1:00,45,3684.0,0.27774427,0
1463,1785,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/16/2017 1:00,2/17/2017 1:00,46,5015.0,0.37809107399999997,0
1464,1786,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/17/2017 1:00,2/18/2017 1:00,47,4695.0,0.353965621,0
1465,1787,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/18/2017 1:00,2/19/2017 1:00,48,3538.0,0.266737033,0
1466,1788,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/19/2017 1:00,2/20/2017 1:00,49,3874.0,0.292068758,0
1467,1789,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/20/2017 1:00,2/21/2017 1:00,50,4083.0,0.307825694,0
1468,1790,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/21/2017 1:00,2/22/2017 1:00,51,4026.0,0.303528347,0
1469,1791,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/22/2017 1:00,2/23/2017 1:00,52,4069.0,0.306770205,0
1470,1792,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/23/2017 1:00,2/24/2017 1:00,53,3819.0,0.287922195,0
1471,1793,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/24/2017 1:00,2/25/2017 1:00,54,4386.0,0.330669481,0
1472,1794,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/25/2017 1:00,2/26/2017 1:00,55,1955.0,0.147391435,0
1473,1795,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/26/2017 1:00,2/27/2017 1:00,56,3385.0,0.25520205100000004,0
1474,1796,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/27/2017 1:00,2/28/2017 1:00,57,0.0,0.0,2
1475,1797,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/28/2017 1:00,3/1/2017 1:00,58,0.0,0.0,2
1476,1798,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/1/2017 1:00,3/2/2017 1:00,59,0.0,0.0,2
1477,1799,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/2/2017 1:00,3/3/2017 1:00,60,0.0,0.0,2
1478,1800,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/3/2017 1:00,3/4/2017 1:00,61,0.0,0.0,2
1479,1801,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/4/2017 1:00,3/5/2017 1:00,62,0.0,0.0,2
1480,1802,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/5/2017 1:00,3/6/2017 1:00,63,0.0,0.0,2
1481,1803,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/6/2017 1:00,3/7/2017 1:00,64,0.0,0.0,2
1482,1804,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/7/2017 1:00,3/8/2017 1:00,65,0.0,0.0,2
1483,1805,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/8/2017 1:00,3/9/2017 1:00,66,0.0,0.0,2
1484,1806,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/9/2017 1:00,3/10/2017 1:00,67,0.0,0.0,2
1485,1807,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/10/2017 1:00,3/11/2017 1:00,68,0.0,0.0,2
1486,1808,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/11/2017 1:00,3/12/2017 1:00,69,0.0,0.0,2
