,user_in_role_id,interval_end,physicalactivity_calories,physicalactivity_intense_time,physicalactivity_moderate_time,physicalactivity_soft_time,cluster,max_probability
131,68,2017-05-20 01:00:00,0.813656693,0.0,0.20588235300000002,0.162154231,2,1.0
132,68,2017-05-21 01:00:00,0.778703835,0.0,0.0,0.139929263,1,0.9977942341054152
133,68,2017-05-22 01:00:00,0.790312619,0.0,0.0,0.177923301,1,0.9843912144579957
134,68,2017-05-23 01:00:00,0.825473839,0.0,0.19117647100000001,0.20387045,2,0.9999997247626121
135,68,2017-05-24 01:00:00,0.81539801,0.0,0.19117647100000001,0.189028063,2,0.9999748878203206
136,68,2017-05-25 01:00:00,0.879357945,0.0,0.26495098,0.26223608800000003,2,0.999713784484555
137,68,2017-05-26 01:00:00,0.805448687,0.0,0.0,0.224257495,1,0.880163711023065
138,68,2017-05-27 01:00:00,0.793080867,0.0,0.014705882,0.195530295,1,0.9934612372575827
139,68,2017-05-28 01:00:00,0.7766574140000001,0.0,0.0,0.165907301,1,0.9997328624841988
140,68,2017-05-29 01:00:00,0.78228321,0.0,0.0,0.17143651399999998,1,0.9995373581411141
142,68,2017-05-30 01:00:00,0.763895194,0.0,0.0,0.111202063,1,0.9999880554693712
143,68,2017-05-31 01:00:00,0.78340688,0.0,0.0,0.18810137899999999,1,0.9992406907256915
150,68,2017-06-01 01:00:00,0.783883138,0.0,0.0,0.189043508,1,0.9991906412684148
161,68,2017-06-02 01:00:00,0.775690016,0.0,0.014705882,0.163111804,1,0.9997259043437582
172,68,2017-06-03 01:00:00,0.79022332,0.0,0.014705882,0.189058953,1,0.9982199749306137
173,68,2017-06-04 01:00:00,0.7782871090000001,0.0,0.0,0.148253973,1,0.9998204628072765
174,68,2017-06-05 01:00:00,0.77950752,0.0,0.0,0.167729779,1,0.9953559626858678
175,68,2017-06-06 01:00:00,0.824476675,0.0,0.176470588,0.214990656,2,0.9999999135598083
176,68,2017-06-07 01:00:00,0.834842723,0.0,0.19117647100000001,0.22055075899999999,2,0.9999841193831768
177,68,2017-06-08 01:00:00,0.826076603,0.0,0.19117647100000001,0.201074953,2,0.9999826156726124
178,68,2017-06-09 01:00:00,0.864720459,0.0,0.33823529399999996,0.224257495,2,0.9999506967777912
151,68,2017-06-10 01:00:00,0.8474561140000001,0.0,0.20588235300000002,0.232597649,2,0.9999489355614781
152,68,2017-06-11 01:00:00,0.798609923,0.0,0.014705882,0.168671908,1,0.6850401323536366
153,68,2017-06-12 01:00:00,0.82094939,0.0,0.147058824,0.189028063,2,0.9999932117469444
154,68,2017-06-13 01:00:00,0.835132943,0.0,0.20588235300000002,0.193676927,2,0.9999846788987714
155,68,2017-06-14 01:00:00,0.814140392,0.0,0.132352941,0.17143651399999998,2,0.999965806580152
156,68,2017-06-15 01:00:00,0.826456121,0.0,0.161764706,0.193676927,2,0.9999823453184528
157,68,2017-06-16 01:00:00,0.82275024,0.0,0.20588235300000002,0.193692372,2,0.9999802719780427
