,AIC,BIC,Log_Likelihood,activity,n_states,user
76,-61.52436638154056,104.3235490143425,51.76218319077028,sleep_light_time,6,66
77,-56.077684164661164,165.05286969651627,56.03884208233058,sleep_light_time,7,66
78,-41.8904541685513,242.42025793867685,56.94522708427565,sleep_light_time,8,66
79,-45.210210482865676,310.17817965116944,67.60510524143284,sleep_light_time,9,66
80,-26.158945252371495,408.20464268922706,68.07947262618575,sleep_light_time,10,66
81,-229.42796840775222,-205.7354090654832,117.71398420387611,sleep_tosleep_time,2,66
82,-311.9381628025111,-264.55304411797306,161.96908140125555,sleep_tosleep_time,3,66
83,-323.6236869873642,-244.6484891798008,171.8118434936821,sleep_tosleep_time,4,66
84,-320.34673342716354,-201.8839367158185,175.17336671358177,sleep_tosleep_time,5,66
85,-315.78892406849394,-149.94100867261088,178.89446203424697,sleep_tosleep_time,6,66
86,-302.8033885046089,-81.67283464343149,179.40169425230445,sleep_tosleep_time,7,66
87,-312.57522634763774,-28.264514240409596,192.28761317381887,sleep_tosleep_time,8,66
88,-306.61361764806963,48.774772485965514,198.30680882403482,sleep_tosleep_time,9,66
89,-286.6047808737766,147.75880706782198,198.3023904368883,sleep_tosleep_time,10,66
90,-120.70801550743379,-97.01545616516478,63.35400775371689,sleep_wakeup_num,2,66
91,-538.5767072857468,-491.19158860120876,275.2883536428734,sleep_wakeup_num,3,66
92,-546.3392773614408,-467.36407955387745,283.1696386807204,sleep_wakeup_num,4,66
93,-593.5295078127467,-475.06671110140167,311.76475390637336,sleep_wakeup_num,5,66
94,-584.0236734550454,-418.17575805916226,313.0118367275227,sleep_wakeup_num,6,66
95,-515.8350779686446,-294.70452410746714,285.9175389843223,sleep_wakeup_num,7,66
96,-476.2679161964735,-191.95720408924535,274.13395809823675,sleep_wakeup_num,8,66
97,-444.4818552138362,-89.09346507980104,267.2409276069181,sleep_wakeup_num,9,66
98,-391.6390538484784,42.724534093120155,250.8195269242392,sleep_wakeup_num,10,66
99,-487.0320549774393,-461.9751565819963,246.51602748871966,physicalactivity_calories,2,67
100,-522.7422384809142,-472.6284416900283,267.3711192404571,physicalactivity_calories,3,67
101,-533.4593937176081,-449.93639906613157,276.72969685880406,physicalactivity_calories,4,67
102,-529.0823134320094,-403.79782145479453,279.5411567160047,physicalactivity_calories,5,67
103,-522.6289222506707,-347.23063348256994,282.31446112533536,physicalactivity_calories,6,67
104,-516.9611183620011,-283.0967333378667,286.48055918100056,physicalactivity_calories,7,67
105,-515.4533486917746,-214.77056794645898,293.7266743458873,physicalactivity_calories,8,67
106,-498.92239594774037,-123.06892001609577,294.4611979738702,physicalactivity_calories,9,67
107,-478.9454887913457,-19.56901820822452,294.47274439567286,physicalactivity_calories,10,67
108,-1161.6136691034567,-1136.5567707080138,583.8068345517283,physicalactivity_intense_time,2,67
109,-1168.8916618928354,-1118.7778651019494,590.4458309464177,physicalactivity_intense_time,3,67
110,-1166.9140235193893,-1083.3910288679126,593.4570117596946,physicalactivity_intense_time,4,67
111,-1162.3906800769269,-1037.106188099712,596.1953400384634,physicalactivity_intense_time,5,67
112,-1159.0085373323768,-983.610248564276,600.5042686661884,physicalactivity_intense_time,6,67
113,-1148.9840846204745,-915.1196995963401,602.4920423102373,physicalactivity_intense_time,7,67
114,-1134.6353936045446,-833.9526128592289,603.3176968022723,physicalactivity_intense_time,8,67
115,-1117.1788556661136,-741.3253797344689,603.5894278330568,physicalactivity_intense_time,9,67
116,-1098.409542685261,-639.0330721021397,604.2047713426305,physicalactivity_intense_time,10,67
117,-273.71383340990474,-248.65693501446177,139.85691670495237,physicalactivity_moderate_time,2,67
118,-308.91289044706366,-258.7990936561777,160.45644522353183,physicalactivity_moderate_time,3,67
119,-328.04087004389453,-244.51787539241795,174.02043502194726,physicalactivity_moderate_time,4,67
120,-324.603952252208,-199.31946027499313,177.301976126104,physicalactivity_moderate_time,5,67
121,-325.79896440777384,-150.40067563967304,183.89948220388692,physicalactivity_moderate_time,6,67
122,-352.1067550479365,-118.24237002380204,204.05337752396824,physicalactivity_moderate_time,7,67
123,-344.5532505677366,-43.870469822420944,208.2766252838683,physicalactivity_moderate_time,8,67
124,-334.1321673662193,41.72130856542532,212.06608368310964,physicalactivity_moderate_time,9,67
125,-321.39603100264327,137.98043958047793,215.69801550132163,physicalactivity_moderate_time,10,67
126,-166.15428591712217,-141.0973875216792,86.07714295856108,physicalactivity_soft_time,2,67
127,-224.43724915259833,-174.32345236171238,118.21862457629916,physicalactivity_soft_time,3,67
128,-237.99088011802826,-154.46788546655168,128.99544005901413,physicalactivity_soft_time,4,67
129,-239.19102524682614,-113.90653326961129,134.59551262341307,physicalactivity_soft_time,5,67
130,-240.3735112574875,-64.97522248938671,141.18675562874375,physicalactivity_soft_time,6,67
131,-241.71398026145613,-7.849595237321694,148.85699013072806,physicalactivity_soft_time,7,67
132,-232.6507915812934,68.03198916402226,152.3253957906467,physicalactivity_soft_time,8,67
133,-237.0304545641426,138.823021367502,163.5152272820713,physicalactivity_soft_time,9,67
134,-197.79563869249267,261.58083189062853,153.89781934624634,physicalactivity_soft_time,10,67
135,-125.26134887939156,-100.20445048394859,65.63067443969578,walk_distance,2,67
136,-148.14529491680256,-98.03149812591661,80.07264745840128,walk_distance,3,67
137,-146.3108581851331,-62.78786353365652,83.15542909256655,walk_distance,4,67
138,-148.11044166624217,-22.82594968902731,89.05522083312108,walk_distance,5,67
139,-151.00582416174728,24.392464606353514,96.50291208087364,walk_distance,6,67
140,-151.36812393900038,82.49626108513405,103.68406196950019,walk_distance,7,67
141,-161.12710248219446,139.5556782631212,116.56355124109723,walk_distance,8,67
142,-132.38764393814307,243.46583199350152,111.19382196907154,walk_distance,9,67
143,-121.38294076225543,337.9935298208658,115.69147038112771,walk_distance,10,67
144,-148.30824225107392,-123.25134385563095,77.15412112553696,walk_steps,2,67
145,-165.22603618467892,-115.11223939379298,88.61301809233946,walk_steps,3,67
146,-161.92238835519208,-78.3993937037155,90.96119417759604,walk_steps,4,67
147,-161.07739541055247,-35.792903433337614,95.53869770527623,walk_steps,5,67
148,-158.2089292682039,17.18935949989691,100.10446463410194,walk_steps,6,67
149,-158.02451157957373,75.83987344456071,107.01225578978686,walk_steps,7,67
150,-162.62811186615951,138.05466887915614,117.31405593307976,walk_steps,8,67
151,-159.57200365049667,216.28147228114793,124.78600182524833,walk_steps,9,67
152,-137.58726207926802,321.78920850385316,123.79363103963401,walk_steps,10,67
153,-118.28395768603137,-93.75837967463707,62.141978843015686,sleep_awake_time,2,67
154,-116.99503141308395,-67.94387539029535,64.49751570654198,sleep_awake_time,3,67
155,-126.56847473829706,-44.81654803364938,73.28423736914853,sleep_awake_time,4,67
156,-129.3765813996856,-6.748691342714068,79.6882906998428,sleep_awake_time,5,67
157,-132.13207618570146,39.546969894058634,87.06603809285073,sleep_awake_time,6,67
158,-124.12232228983626,104.78307248317722,90.06116114491813,sleep_awake_time,7,67
159,-118.19507416002526,176.11186197670636,95.09753708001263,sleep_awake_time,8,67
160,-111.7693401723563,256.1143299985582,100.88467008617815,sleep_awake_time,9,67
161,-104.18964159677094,345.4459552787913,107.09482079838547,sleep_awake_time,10,67
162,-98.01382173529797,-73.48824372390366,52.00691086764898,sleep_deep_time,2,67
163,-108.51674927151122,-59.46559324872261,60.25837463575561,sleep_deep_time,3,67
164,-110.62409360826376,-28.87216690361609,65.31204680413188,sleep_deep_time,4,67
165,-112.01548441074428,10.612405646227245,71.00774220537214,sleep_deep_time,5,67
166,-118.71262702253841,52.966419057221685,80.3563135112692,sleep_deep_time,6,67
167,-111.35265746506272,117.55273730795076,83.67632873253136,sleep_deep_time,7,67
168,-97.97485685437783,196.3320792823538,84.98742842718892,sleep_deep_time,8,67
169,-82.24487295372197,285.6387972171925,86.12243647686098,sleep_deep_time,9,67
170,-81.40276711702757,368.23282975853465,95.70138355851378,sleep_deep_time,10,67
171,-155.09991253953118,-130.5743345281369,80.54995626976559,sleep_light_time,2,67
172,-167.0187996567538,-117.9676436339652,89.5093998283769,sleep_light_time,3,67
173,-167.78371478520552,-86.03178808055785,93.89185739260276,sleep_light_time,4,67
174,-165.68459548131509,-43.05670542434356,97.84229774065754,sleep_light_time,5,67
175,-159.98277479715014,11.696271282609956,100.99138739857507,sleep_light_time,6,67
176,-155.43484847857147,73.47054629444202,105.71742423928573,sleep_light_time,7,67
177,-144.77145892183796,149.53547721489366,108.38572946091898,sleep_light_time,8,67
178,-123.56188216567472,244.3217880052398,106.78094108283736,sleep_light_time,9,67
179,-130.40125494934318,319.23434192621903,120.20062747467159,sleep_light_time,10,67
180,-331.3152729412245,-306.7896949298302,168.65763647061226,sleep_tosleep_time,2,67
181,-342.7488840570299,-293.6977280342413,177.37444202851495,sleep_tosleep_time,3,67
182,-477.65132907899215,-395.8994023743445,248.82566453949607,sleep_tosleep_time,4,67
183,-479.29224675039296,-356.66435669342144,254.64612337519648,sleep_tosleep_time,5,67
184,-482.53124492671907,-310.85219884695897,262.26562246335953,sleep_tosleep_time,6,67
185,-470.99712474103774,-242.09172996802425,263.49856237051887,sleep_tosleep_time,7,67
186,-476.57696262765705,-182.27002649092543,274.2884813138285,sleep_tosleep_time,8,67
187,-457.6058720799962,-89.72220190908166,273.8029360399981,sleep_tosleep_time,9,67
188,-444.5392907437564,5.096306131805818,277.2696453718782,sleep_tosleep_time,10,67
189,-31.834516316412298,-7.308938305017996,18.91725815820615,sleep_wakeup_num,2,67
190,-34.55567355681213,14.495482465976472,23.277836778406066,sleep_wakeup_num,3,67
191,-35.19222889059381,46.55969781405386,27.596114445296905,sleep_wakeup_num,4,67
192,-408.4073892468456,-285.77949918987406,219.2036946234228,sleep_wakeup_num,5,67
193,-410.4000724443763,-238.7210263646162,226.20003622218815,sleep_wakeup_num,6,67
194,-400.12421560153865,-171.21882082852517,228.06210780076933,sleep_wakeup_num,7,67
195,-384.0758070604567,-89.7688709237251,228.03790353022836,sleep_wakeup_num,8,67
196,-371.25888488139367,-3.375214710479156,230.62944244069683,sleep_wakeup_num,9,67
197,-310.8244336899599,138.8111631856023,210.41221684497995,sleep_wakeup_num,10,67
198,-561.760730245885,-536.6364154108405,283.8803651229425,physicalactivity_calories,2,68
199,-614.3632089510355,-564.1145792809465,313.18160447551776,physicalactivity_calories,3,68
200,-598.7026670685341,-514.954950951719,309.35133353426704,physicalactivity_calories,4,68
201,-621.0549603481427,-495.43338617292005,325.52748017407134,physicalactivity_calories,5,68
202,-627.5567305524218,-451.68652670711003,334.7783652762109,physicalactivity_calories,6,68
203,-598.0781038485683,-363.584498721486,327.03905192428414,physicalactivity_calories,7,68
204,-582.6321716596535,-281.14039363911917,327.31608582982676,physicalactivity_calories,8,68
205,-540.624147747627,-163.75942522195908,315.3120738738135,physicalactivity_calories,9,68
206,-550.5084440233959,-89.89600538091281,330.25422201169795,physicalactivity_calories,10,68
207,-842.5840715792582,-817.4597567442137,424.2920357896291,physicalactivity_intense_time,2,68
208,-1306.32656013847,-1256.077930468381,659.163280069235,physicalactivity_intense_time,3,68
209,-1179.791600998147,-1096.043884881332,599.8958004990735,physicalactivity_intense_time,4,68
210,-1100.4514925426438,-974.8299183674212,565.2257462713219,physicalactivity_intense_time,5,68
211,-1039.2529400424053,-863.3827361970935,540.6264700212026,physicalactivity_intense_time,6,68
212,-987.0908727756619,-752.5972676485796,521.5454363878309,physicalactivity_intense_time,7,68
213,-939.9096307551994,-638.4178527346651,505.9548153775997,physicalactivity_intense_time,8,68
214,-895.545792213532,-518.681069687864,492.772896106766,physicalactivity_intense_time,9,68
215,-852.7079817821201,-392.095543139637,481.35399089106005,physicalactivity_intense_time,10,68
216,-374.44006004323245,-349.31574520818793,190.22003002161622,physicalactivity_moderate_time,2,68
217,-405.6815327954007,-355.43290312531167,208.84076639770035,physicalactivity_moderate_time,3,68
218,-406.3704536473232,-322.62273753050806,213.1852268236616,physicalactivity_moderate_time,4,68
219,-404.5168735783252,-278.89529940310257,217.2584367891626,physicalactivity_moderate_time,5,68
220,-417.1033837181934,-241.2331798728817,229.5516918590967,physicalactivity_moderate_time,6,68
221,-418.4688444147693,-183.97523928768703,237.23442220738465,physicalactivity_moderate_time,7,68
222,-409.01592173935893,-107.52414371882458,240.50796086967947,physicalactivity_moderate_time,8,68
223,-395.7245877450651,-18.859865219397136,242.86229387253255,physicalactivity_moderate_time,9,68
224,-381.83636849099804,78.77607015148504,245.91818424549902,physicalactivity_moderate_time,10,68
225,-483.0059163463409,-457.88160151129637,244.50295817317044,physicalactivity_soft_time,2,68
226,-538.9557672549475,-488.7071375848585,275.4778836274738,physicalactivity_soft_time,3,68
227,-540.1875259105406,-456.43980979372543,280.0937629552703,physicalactivity_soft_time,4,68
228,-565.0493280031209,-439.42775382789824,297.52466400156044,physicalactivity_soft_time,5,68
229,-554.0346039227754,-378.1644000774637,298.0173019613877,physicalactivity_soft_time,6,68
230,-539.6706604559566,-305.17705532887436,297.8353302279783,physicalactivity_soft_time,7,68
231,-495.86109951509343,-194.36932149455907,283.9305497575467,physicalactivity_soft_time,8,68
232,-513.090168575326,-136.225446049658,301.545084287663,physicalactivity_soft_time,9,68
233,-493.9880334547993,-33.375594812316194,301.99401672739964,physicalactivity_soft_time,10,68
